ano;país;vl_usd_milhoes_exp;vl_usd_milhoes_imp;saldo_usd_milhoes;corrente_comercio
2022;República Centro-Africana;37.613858;0.059033;38;38
2022;Curaçao;36.560114;0.163314;36;37
2022;Tanzânia;34.433398;2.037427;32;36
2022;Eslováquia;34.136678;317.16141;-283;351
2022;Barbados;32.204522;0.438263;32;33
2022;Camboja;31.373125;65.447382;-34;97
2022;Azerbaijão;30.707242;3.829966;27;35
2022;Serra Leoa;30.696191;0.382573;30;31
2022;Cabo Verde;30.591105;0.008685;31;31
2022;Palestina;30.097472;0.286644;30;30
2022;Ilha de Man;28.733067;0.031723;29;29
2022;Etiópia;28.713223;0.389442;28;29
2022;Maldivas;28.184435;0.001983;28;28
2022;Cazaquistão;27.25802;163.041647;-136;190
2022;Guiné Equatorial;21.194477;0.000428;21;21
2022;Montenegro;20.849121;0.01523;21;21
2022;Sri Lanka;20.364599;77.021873;-57;97
2022;Namíbia;19.286219;0.058325;19;19
2022;Djibuti;17.791162;0.002523;18;18
2022;Macedônia;17.5367;19.098349;-2;37
2022;Síria;17.17127;3.112873;14;20
2022;Liechtenstein;16.820722;15.475278;1;32
2022;Granada;16.125748;0.000489;16;16
2022;Turcomenistão;14.692095;28.2272;-14;43
2022;Nova Caledônia;14.599743;0.031439;15;15
2022;Sint Maarten;14.363108;0.0;14;14
2022;Belize;13.929463;0.113875;14;14
2022;Timor Leste;13.769795;0.000236;14;14
2022;Uganda;12.69598;0.011892;13;13
2022;Martinica;11.186144;0.000481;11;11
2022;Mayotte;11.08829;0.01005;11;11
2022;Cayman, Ilhas;10.871707;4.769427;6;16
2022;Guadalupe;10.381462;0.0;10;10
2022;Seicheles;9.739326;0.781879;9;11
2022;Armênia;9.670326;0.283807;9;10
2022;São Vicente e Granadinas;8.764794;0.0;9;9
2022;Virgens, Ilhas (Britânicas);8.584882;22.999794;-14;32
2022;Polinésia Francesa;8.334777;0.038129;8;8
2022;Comores;8.029975;0.142568;8;8
2022;Nepal;7.779271;0.466497;7;8
2022;Guiana Francesa;7.507046;0.001327;8;8
2022;Burkina Faso;6.943562;0.089143;7;7
2022;Zâmbia;6.911309;3.404347;4;10
2022;Belarus;6.595664;372.942181;-366;380
2022;Zimbábue;6.430702;0.217229;6;7
2022;Bermudas;5.687413;0.739475;5;6
2022;Chade;5.64741;0.071328;6;6
2022;Reunião;5.31828;0.020917;5;5
2022;Dominica;5.156755;0.007285;5;5
2022;Mali;4.991499;0.92996;4;6
2022;Sudão do Sul;4.477579;0.000373;4;4
2022;Moldávia;4.291348;3.612144;1;8
2022;São Cristóvão e Névis;4.214918;0.042477;4;4
